t,Volume,vw,Open,Close,High,Low,n
2022-08-29 04:00:00,73313953.0,161.5291,161.145,161.38,162.9,159.82,640593
2022-08-30 04:00:00,77906197.0,159.2926,162.13,158.91,162.56,157.72,644671
2022-08-31 04:00:00,87991091.0,158.3972,160.305,157.22,160.58,157.14,606827
2022-09-01 04:00:00,74229896.0,156.5232,156.64,157.96,158.42,154.67,654667
2022-09-02 04:00:00,76807768.0,157.6597,159.75,155.81,160.362,154.965,646414
2022-09-06 04:00:00,73714843.0,155.012,156.47,154.53,157.09,153.69,687436
2022-09-07 04:00:00,87293824.0,155.306,154.825,155.96,156.67,153.61,696954
2022-09-08 04:00:00,84909447.0,154.3949,154.64,154.46,156.36,152.68,697264
2022-09-09 04:00:00,68081006.0,156.6625,155.47,157.37,157.82,154.75,532851
2022-09-12 04:00:00,104955962.0,162.4763,159.59,163.43,164.26,159.3,801512
2022-09-13 04:00:00,122651554.0,156.1544,159.9,153.84,160.54,153.37,1018108
2022-09-14 04:00:00,87935409.0,155.2607,154.785,155.31,157.1,153.6106,716065
2022-09-15 04:00:00,90481110.0,153.0058,154.65,152.37,155.24,151.38,741143
2022-09-16 04:00:00,160940131.0,150.2326,151.21,150.7,151.35,148.37,850351
2022-09-19 04:00:00,81474246.0,152.5543,149.31,154.48,154.56,149.1,671956
2022-09-20 04:00:00,107639796.0,156.1314,153.4,156.9,158.08,153.08,792170
2022-09-21 04:00:00,101696790.0,156.2959,157.34,153.72,158.74,153.6,785023
2022-09-22 04:00:00,86652542.0,152.5709,152.38,152.74,154.47,150.91,686879
2022-09-23 04:00:00,96029909.0,150.0222,151.19,150.43,151.47,148.56,766882
2022-09-26 04:00:00,93339409.0,151.5222,149.66,150.77,153.7701,149.64,747666
2022-09-27 04:00:00,84282741.0,152.1335,152.74,151.76,154.72,149.945,683776
2022-09-28 04:00:00,146661387.0,147.5981,147.64,149.84,150.6414,144.84,1142717
2022-09-29 04:00:00,128138237.0,142.9002,146.1,142.48,146.72,140.68,1067281
2022-09-30 04:00:00,124910274.0,140.3818,141.28,138.2,143.1,138.0,947003
2022-10-03 04:00:00,114311663.0,141.2135,138.21,142.45,143.07,137.685,838786
2022-10-04 04:00:00,87780064.0,145.4907,145.03,146.1,146.22,144.26,687504
2022-10-05 04:00:00,79269968.0,145.2495,144.075,146.4,147.38,143.01,605861
2022-10-06 04:00:00,68308669.0,146.0741,145.81,145.43,147.54,145.22,538671
2022-10-07 04:00:00,85925559.0,140.7932,142.54,140.09,143.1,139.445,666459
2022-10-10 04:00:00,74899002.0,140.1978,140.42,140.42,141.89,138.5729,620863
2022-10-11 04:00:00,77001872.0,139.5393,139.9,138.98,141.35,138.22,608882
2022-10-12 04:00:00,69933744.0,139.0968,139.13,138.34,140.36,138.16,553185
2022-10-13 04:00:00,113223975.0,139.7607,134.99,142.99,143.59,134.37,874139
2022-10-14 04:00:00,88597969.0,139.9229,144.31,138.38,144.52,138.19,689680
2022-10-17 04:00:00,85250639.0,141.9529,141.065,142.41,142.9,140.27,634583
2022-10-18 04:00:00,99130632.0,144.0619,145.49,143.75,146.7,140.61,785416
2022-10-19 04:00:00,61757790.0,143.4441,141.69,143.86,144.9492,141.5,511348
2022-10-20 04:00:00,64521989.0,144.2072,143.02,143.39,145.89,142.65,517760
2022-10-21 04:00:00,86548459.0,145.5191,142.87,147.27,147.8479,142.649,621571
2022-10-24 04:00:00,75981918.0,148.3743,147.185,149.45,150.23,146.0,653020
2022-10-25 04:00:00,74682290.0,151.4347,150.09,152.34,152.49,149.36,581421
2022-10-26 04:00:00,87883672.0,150.0488,150.96,149.35,151.99,148.04,694793
2022-10-27 04:00:00,109161970.0,145.3119,148.07,144.8,149.046,144.13,944053
2022-10-28 04:00:00,164762371.0,154.5822,148.2,155.74,157.5,147.82,1228075
2022-10-31 04:00:00,97932271.0,153.2791,153.155,153.34,154.24,151.92,726843
2022-11-01 04:00:00,80379345.0,150.9807,155.08,150.65,155.45,149.13,650595
2022-11-02 04:00:00,93604623.0,148.2186,148.945,145.03,152.17,145.0,788400
2022-11-03 04:00:00,97917166.0,140.1145,142.06,138.88,142.8,138.75,871800
2022-11-04 04:00:00,140494796.0,137.3583,142.09,138.38,142.67,134.38,1161631
2022-11-07 05:00:00,83364228.0,137.4671,137.11,138.92,139.145,135.671,715005
2022-11-08 05:00:00,89908477.0,139.5702,140.41,139.5,141.43,137.49,637312
2022-11-09 05:00:00,74903262.0,135.9897,138.5,134.87,138.55,134.5933,632982
2022-11-10 05:00:00,118854028.0,144.1322,141.24,146.87,146.87,139.5,875048
2022-11-11 05:00:00,93966273.0,148.1929,145.82,149.7,150.01,144.37,742241
